 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 1.23000000e-01  2.50000000e-01  1.23000000e-01  4.11526048e-01 
 1.24000000e-01  2.50000000e-01  1.24000000e-01  4.11621766e-01 
 1.25000000e-01  2.50000000e-01  1.25000000e-01  4.11721344e-01 
 1.26000000e-01  2.50000000e-01  1.26000000e-01  4.11818593e-01 
 1.27000000e-01  2.50000000e-01  1.27000000e-01  4.11915804e-01 
 1.28000000e-01  2.50000000e-01  1.28000000e-01  4.12025096e-01 
 1.29000000e-01  2.50000000e-01  1.29000000e-01  4.12137536e-01 
 1.30000000e-01  2.50000000e-01  1.30000000e-01  4.12247009e-01 
 1.31000000e-01  2.50000000e-01  1.31000000e-01  4.12363449e-01 
 1.32000000e-01  2.50000000e-01  1.32000000e-01  4.12480035e-01 
 1.33000000e-01  2.50000000e-01  1.33000000e-01  4.12597145e-01 
 1.34000000e-01  2.50000000e-01  1.34000000e-01  4.12724746e-01 
 1.35000000e-01  2.50000000e-01  1.35000000e-01  4.12845810e-01 
 1.36000000e-01  2.50000000e-01  1.36000000e-01  4.12977834e-01 
 1.37000000e-01  2.50000000e-01  1.37000000e-01  4.13121088e-01 
 1.38000000e-01  2.50000000e-01  1.38000000e-01  4.13253033e-01 
 1.39000000e-01  2.50000000e-01  1.39000000e-01  4.13393631e-01 
 1.40000000e-01  2.50000000e-01  1.40000000e-01  4.13536072e-01 
 1.41000000e-01  2.50000000e-01  1.41000000e-01  4.13696805e-01 
 1.42000000e-01  2.50000000e-01  1.42000000e-01  4.13843727e-01 
 1.43000000e-01  2.50000000e-01  1.43000000e-01  4.14007416e-01 
 1.44000000e-01  2.50000000e-01  1.44000000e-01  4.14166545e-01 
 1.45000000e-01  2.50000000e-01  1.45000000e-01  4.14324376e-01 
 1.46000000e-01  2.50000000e-01  1.46000000e-01  4.14500686e-01 
 1.47000000e-01  2.50000000e-01  1.47000000e-01  4.14684126e-01 
 1.48000000e-01  2.50000000e-01  1.48000000e-01  4.14866227e-01 
 1.49000000e-01  2.50000000e-01  1.49000000e-01  4.15039737e-01 
