 frequency       db(v(VOUT))     180*cph(v(VOUT))/pi
 7.94328235e+06 -2.77473682e+01 -1.26252236e+02 
 8.91250938e+06 -2.89497572e+01 -1.31503611e+02 
 1.00000000e+07 -3.02144409e+01 -1.37377040e+02 
 1.12201845e+07 -3.15570914e+01 -1.43963252e+02 
 1.25892541e+07 -3.29975489e+01 -1.51382449e+02 
 1.41253754e+07 -3.45626830e+01 -1.59792996e+02 
 1.58489319e+07 -3.62891325e+01 -1.69397442e+02 
 1.77827941e+07 -3.82249369e+01 -1.80454677e+02 
 1.99526231e+07 -4.04285524e+01 -1.93310955e+02 
 2.23872114e+07 -4.29603466e+01 -2.08469774e+02 
 2.51188643e+07 -4.58520591e+01 -2.26723613e+02 
 2.81838293e+07 -4.90179656e+01 -2.49263828e+02 
 3.16227766e+07 -5.20727641e+01 -2.77050840e+02 
 3.54813389e+07 -5.43213237e+01 -3.07969163e+02 
 3.98107171e+07 -5.55181596e+01 -3.35597375e+02 
 4.46683592e+07 -5.62080641e+01 -3.55627689e+02 
 5.01187234e+07 -5.68738047e+01 -3.68247627e+02 
 5.62341325e+07 -5.76240381e+01 -3.74903866e+02 
 6.30957344e+07 -5.83647500e+01 -3.76912278e+02 
 7.07945784e+07 -5.89482909e+01 -3.75574844e+02 
 7.94328235e+07 -5.92717767e+01 -3.72339000e+02 
 8.91250938e+07 -5.93287604e+01 -3.68564812e+02 
 1.00000000e+08 -5.91899882e+01 -3.65162738e+02 
 1.12201845e+08 -5.89457932e+01 -3.62507904e+02 
 1.25892541e+08 -5.86665261e+01 -3.60618314e+02 
 1.41253754e+08 -5.83940863e+01 -3.59361658e+02 
 1.58489319e+08 -5.81485909e+01 -3.58577888e+02 
 1.77827941e+08 -5.79370324e+01 -3.58128105e+02 
 1.99526231e+08 -5.77595498e+01 -3.57905794e+02 
 2.23872114e+08 -5.76131552e+01 -3.57833922e+02 
 2.51188643e+08 -5.74937342e+01 -3.57858496e+02 
 2.81838293e+08 -5.73970423e+01 -3.57942396e+02 
 3.16227766e+08 -5.73191568e+01 -3.58060463e+02 
 3.54813389e+08 -5.72566478e+01 -3.58195879e+02 
 3.98107171e+08 -5.72066104e+01 -3.58337580e+02 
 4.46683592e+08 -5.71666322e+01 -3.58478447e+02 
 5.01187234e+08 -5.71347354e+01 -3.58614048e+02 
 5.62341325e+08 -5.71093127e+01 -3.58741759e+02 
 6.30957344e+08 -5.70890658e+01 -3.58860172e+02 
 7.07945784e+08 -5.70729503e+01 -3.58968676e+02 
 7.94328235e+08 -5.70601288e+01 -3.59067174e+02 
 8.91250938e+08 -5.70499313e+01 -3.59155892e+02 
 1.00000000e+09 -5.70418226e+01 -3.59235244e+02 
