 frequency       db(v(VOUT))     180*cph(v(VOUT))/pi
 1.77827941e+07 -3.86513361e+01 -1.83839197e+02 
 1.99526231e+07 -4.25235479e+01 -1.89796113e+02 
 2.23872114e+07 -4.72216264e+01 -1.92796659e+02 
 2.51188643e+07 -5.30634937e+01 -1.89516934e+02 
 2.81838293e+07 -6.03646164e+01 -1.69374460e+02 
 3.16227766e+07 -6.50202781e+01 -1.10757895e+02 
 3.54813389e+07 -6.27588839e+01 -6.77829685e+01 
 3.98107171e+07 -6.06604537e+01 -4.76827670e+01 
 4.46683592e+07 -5.90939639e+01 -3.43695799e+01 
 5.01187234e+07 -5.77448541e+01 -2.49675724e+01 
 5.62341325e+07 -5.65823752e+01 -1.86760639e+01 
 6.30957344e+07 -5.56324389e+01 -1.46830957e+01 
 7.07945784e+07 -5.48945056e+01 -1.22226892e+01 
 7.94328235e+07 -5.43441902e+01 -1.07107728e+01 
 8.91250938e+07 -5.39480426e+01 -9.74956645e+00 
 1.00000000e+08 -5.36725786e+01 -9.08463444e+00 
 1.12201845e+08 -5.34881614e+01 -8.56135652e+00 
 1.25892541e+08 -5.33702137e+01 -8.09171366e+00 
 1.41253754e+08 -5.32992337e+01 -7.63074990e+00 
 1.58489319e+08 -5.32603025e+01 -7.16020512e+00 
 1.77827941e+08 -5.32423893e+01 -6.67727707e+00 
 1.99526231e+08 -5.32376097e+01 -6.18710735e+00 
 2.23872114e+08 -5.32405204e+01 -5.69799149e+00 
 2.51188643e+08 -5.32475005e+01 -5.21854999e+00 
 2.81838293e+08 -5.32562391e+01 -4.75624955e+00 
 3.16227766e+08 -5.32653351e+01 -4.31679888e+00 
 3.54813389e+08 -5.32739963e+01 -3.90406278e+00 
 3.98107171e+08 -5.32818236e+01 -3.52024876e+00 
 4.46683592e+08 -5.32886609e+01 -3.16620697e+00 
 5.01187234e+08 -5.32944948e+01 -2.84175081e+00 
 5.62341325e+08 -5.32993891e+01 -2.54595000e+00 
 6.30957344e+08 -5.33034441e+01 -2.27737567e+00 
 7.07945784e+08 -5.33067723e+01 -2.03429379e+00 
 7.94328235e+08 -5.33094843e+01 -1.81481041e+00 
 8.91250938e+08 -5.33116820e+01 -1.61697684e+00 
 1.00000000e+09 -5.33134552e+01 -1.43886218e+00 
